상품명,가격,평점,리뷰,작성일,링크
2019FW 트랜디 여성 루즈핏 모직 코트,"113,200원",,,,https://www.coupang.com/vp/products/1156584184?itemId=2132388522&vendorItemId=70130948530&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=85
리본디자이너 부자재,"1,500원",,,,https://www.coupang.com/vp/products/68544700?itemId=228765646&vendorItemId=3558836512&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=86
ksw87368 롱부츠 핫템 잇템 탄력 봄 가을 겨울 yi234 구두,"93,750원",,,,https://www.coupang.com/vp/products/1604758475?itemId=2740885798&vendorItemId=70730944573&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=88
ksw38889 빅사이즈여성의류 8815L002 빅 골지 H라인 스커트 xm312 RM,"32,580원",,,,https://www.coupang.com/vp/products/1326140112?itemId=2348834856&vendorItemId=70920326597&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=89
127 탱이점빵 / 똑딱이 흑색 단추 대 고근 스냅 금속 자켓 슬림자켓 기본자켓 정장재킷,"2,270원",,,,https://www.coupang.com/vp/products/1953758911?itemId=3319819287&vendorItemId=71306689742&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=90
ksw65735 봄 가을 임산부 면 레깅스 go883 임부복,"28,130원",,,,https://www.coupang.com/vp/products/1604756855?itemId=2740880124&vendorItemId=70730939736&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=91
ksw75829 가을신상 남성의류 캐주얼 학생 스트라이프 티셔츠,"50,840원",,,,https://www.coupang.com/vp/products/161407170?itemId=463625150&vendorItemId=5209216351&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=92
ksw40256 빅사이즈 H라인 빅 골지 스커트 RM8815M003 gg319 여성의류,"37,080원",,,,https://www.coupang.com/vp/products/1326138174?itemId=2348829383&vendorItemId=70466901046&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=93
ksw57033 기모 패치 반바지레깅스 털 가득 여성래깅스 tv669 데일리룩,"10,440원",,,,https://www.coupang.com/vp/products/315760758?itemId=1003884368&vendorItemId=71487089778&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=94
ISHOES 보석 가득 2굽 여성 스니커즈,"47,300원",,,,https://www.coupang.com/vp/products/283136620?itemId=898545447&vendorItemId=5307851303&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=95
정배몰 OPM 바이톤오링 V계열 V-40 39.5 x 4 여성 브이넥 니트,"2,220원",,,,https://www.coupang.com/vp/products/326001481?itemId=1043552734&vendorItemId=5538512266&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=96
우니유리 OPM 바이톤오링 V계열 V-34 33.5 x 4 여성 브이넥 니트,"1,820원",,,,https://www.coupang.com/vp/products/334459091?itemId=1067644904&vendorItemId=5553659540&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=97
ksw96191 클래식 빅 파우치-3종색상 ra340 (PH148),"3,920원",,,,https://www.coupang.com/vp/products/1166723536?itemId=2143795981&vendorItemId=71042629923&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=98
투바디원쏘울 빵맨투맨 여자맨투맨 귀여운맨투맨 컬러맨투맨 트윈룩 가을맨투맨 겨울맨투맨 기모맨투맨캐릭터맨투맨 맨투맨,"14,900원",,,,https://www.coupang.com/vp/products/320122924?itemId=1024320793&vendorItemId=5466200121&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=100
투바디원쏘울 빵맨투맨 여자맨투맨 귀여운맨투맨 컬러맨투맨 트윈룩 가을맨투맨 겨울맨투맨 기모맨투맨캐릭터맨투맨 맨투맨,"14,900원",,,,https://www.coupang.com/vp/products/2002387885?itemId=3406713450&vendorItemId=71393303608&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=101
위파인더 조끼 여성 2018 새로운 칸 민소매 어깨 스탠드 칼라 가을과 겨울 조끼 빵 조끼 E8037,"23,000원",,,,https://www.coupang.com/vp/products/1439408554?itemId=2482927005&vendorItemId=70476202062&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=102
위파인더 일계 루즈핏 겹겹 패딩 베스트 여숏 추동빵복에 통굽조끼g8295,"25,000원",,,,https://www.coupang.com/vp/products/1384367625?itemId=2419084175&vendorItemId=70476239276&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=103
위파인더 베스트여 민 숄더탑 추동 말빵조끼e8037,"24,500원",,,,https://www.coupang.com/vp/products/1730217996?itemId=2945082586&vendorItemId=70933621100&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=104
카페테리아 베이킹 케잌 스무더 1개,"14,710원",,,,https://www.coupang.com/vp/products/2051861646?itemId=3488243655&vendorItemId=71474516630&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=105
ISHOES 보석 가득 2굽 여성 스니커즈,"47,400원",,,,https://www.coupang.com/vp/products/283136688?itemId=898545882&vendorItemId=5271988458&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=106
도리파이 OPM 바이톤오링 P계열 P-42 41.7x3.5 여성 스트랩샌들,"1,840원",,,,https://www.coupang.com/vp/products/334513693?itemId=1067768531&vendorItemId=5553920624&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=36&searchId=94718ab1f79147368c7d1742739cd62f&rank=107
코인박스 협력업체 [무배5컬러] 무브 기모빵 롱박시맨투맨,"28,900원",,,,https://www.coupang.com/vp/products/1177055976?itemId=2156093751&vendorItemId=70154334249&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=5&searchId=024a9d45d62f4d36b6c2c64d0ab36b80&rank=109
빵아샵 소매 캡 리본 패딩조끼(2컬러),원,,,,https://www.coupang.com/vp/products/346334771?itemId=1099255990&vendorItemId=5624756869&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=5&searchId=024a9d45d62f4d36b6c2c64d0ab36b80&rank=110
꼭지 빵모자 울 베레모 40대미시옷 울모자,"15,400원",,,,https://www.coupang.com/vp/products/132128055?itemId=388662684&vendorItemId=3945284645&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=5&searchId=024a9d45d62f4d36b6c2c64d0ab36b80&rank=111
비비안 퓨어라인빵빵볼륨업브라 뉴코아인천 볼륨업 브라,"40,500원",,,,https://www.coupang.com/vp/products/216223225?itemId=663546318&vendorItemId=4717064542&q=%ED%81%AC%EB%A6%BC%EB%B9%B5&itemsCount=5&searchId=024a9d45d62f4d36b6c2c64d0ab36b80&rank=112
